CombinedKey,Prefix,Opcode,Mnemonic,Bytes,Cycles,Notes
0xCB96,CB,0x96,"RES 2,(HL)",2,15,
0xCB97,CB,0x97,"RES 2,A",2,8,
0xCB98,CB,0x98,"RES 3,B",2,8,
0xCB99,CB,0x99,"RES 3,C",2,8,
0xCB9A,CB,0x9A,"RES 3,D",2,8,
0xCB9B,CB,0x9B,"RES 3,E",2,8,
0xCB9C,CB,0x9C,"RES 3,H",2,8,
0xCB9D,CB,0x9D,"RES 3,L",2,8,
0xCB9E,CB,0x9E,"RES 3,(HL)",2,15,
0xCB9F,CB,0x9F,"RES 3,A",2,8,
0xCBA0,CB,0xA0,"RES 4,B",2,8,
0xCBA1,CB,0xA1,"RES 4,C",2,8,
0xCBA2,CB,0xA2,"RES 4,D",2,8,
0xCBA3,CB,0xA3,"RES 4,E",2,8,
0xCBA4,CB,0xA4,"RES 4,H",2,8,
0xCBA5,CB,0xA5,"RES 4,L",2,8,
0xCBA6,CB,0xA6,"RES 4,(HL)",2,15,
0xCBA7,CB,0xA7,"RES 4,A",2,8,
0xCBA8,CB,0xA8,"RES 5,B",2,8,
0xCBA9,CB,0xA9,"RES 5,C",2,8,
0xCBAA,CB,0xAA,"RES 5,D",2,8,
0xCBAB,CB,0xAB,"RES 5,E",2,8,
0xCBAC,CB,0xAC,"RES 5,H",2,8,
0xCBAD,CB,0xAD,"RES 5,L",2,8,
0xCBAE,CB,0xAE,"RES 5,(HL)",2,15,
0xCBAF,CB,0xAF,"RES 5,A",2,8,
0xCBB0,CB,0xB0,"RES 6,B",2,8,
0xCBB1,CB,0xB1,"RES 6,C",2,8,
0xCBB2,CB,0xB2,"RES 6,D",2,8,
0xCBB3,CB,0xB3,"RES 6,E",2,8,
0xCBB4,CB,0xB4,"RES 6,H",2,8,
0xCBB5,CB,0xB5,"RES 6,L",2,8,
0xCBB6,CB,0xB6,"RES 6,(HL)",2,15,
0xCBB7,CB,0xB7,"RES 6,A",2,8,
0xCBB8,CB,0xB8,"RES 7,B",2,8,
0xCBB9,CB,0xB9,"RES 7,C",2,8,
0xCBBA,CB,0xBA,"RES 7,D",2,8,
0xCBBB,CB,0xBB,"RES 7,E",2,8,
0xCBBC,CB,0xBC,"RES 7,H",2,8,
0xCBBD,CB,0xBD,"RES 7,L",2,8,
0xCBBE,CB,0xBE,"RES 7,(HL)",2,15,
0xCBBF,CB,0xBF,"RES 7,A",2,8,
0xCBC0,CB,0xC0,"SET 0,B",2,8,
0xCBC1,CB,0xC1,"SET 0,C",2,8,
0xCBC2,CB,0xC2,"SET 0,D",2,8,
0xCBC3,CB,0xC3,"SET 0,E",2,8,
0xCBC4,CB,0xC4,"SET 0,H",2,8,
0xCBC5,CB,0xC5,"SET 0,L",2,8,
0xCBC6,CB,0xC6,"SET 0,(HL)",2,15,
0xCBC7,CB,0xC7,"SET 0,A",2,8,
0xCBC8,CB,0xC8,"SET 1,B",2,8,
0xCBC9,CB,0xC9,"SET 1,C",2,8,
0xCBCA,CB,0xCA,"SET 1,D",2,8,
0xCBCB,CB,0xCB,"SET 1,E",2,8,
0xCBCC,CB,0xCC,"SET 1,H",2,8,
0xCBCD,CB,0xCD,"SET 1,L",2,8,
0xCBCE,CB,0xCE,"SET 1,(HL)",2,15,
0xCBCF,CB,0xCF,"SET 1,A",2,8,
0xCBD0,CB,0xD0,"SET 2,B",2,8,
0xCBD1,CB,0xD1,"SET 2,C",2,8,
0xCBD2,CB,0xD2,"SET 2,D",2,8,
